Restaurant Name,Category,Rating,Cost for Two (in Rupees),Area,Primary_Cuisine,Price_Category,Rating_Category
Home Plate by EatFit,"North Indian, Home Food, Healthy Food, Indian, Punjabi, South Indian, Rajasthani...",3.9,160,Arekere,North Indian,Budget,Good
New Kabab Zone,"North Indian, Chinese, Biryani",3.9,250,Arekere,North Indian,Mid-Range,Good
Crown Restaurant,"Indian, Chinese",3.7,300,Arekere,Indian,Mid-Range,Good
Thakkali Kitchens,"Kerala, South Indian, Indian, Chinese",3.8,399,Arekere,Kerala,Mid-Range,Good
Ishta Cafe - Millet Pizzas,"Pizzas, Salads, Beverages, Healthy Food",3.7,400,Arekere,Pizzas,Mid-Range,Good
New Udupi Veg,"South Indian, Chinese, Chaat, North Indian",3.7,200,Arekere,South Indian,Budget,Good
GUNDU PALAV SGS NON VEG - ORIGINAL,Indian,3.4,200,Arekere,Indian,Budget,Average
Dindigul Thalappakatti,"Biryani, Barbecue, Chinese, North Indian, South Indian",3.8,650,Arekere,Biryani,Premium,Good
KFC,"American, Snacks",3.9,400,Arekere,American,Mid-Range,Good
Soup Station,"Continental, Healthy Food",3.8,300,Arekere,Continental,Mid-Range,Good
Just Shawarma,Lebanese,3.7,150,Arekere,Lebanese,Budget,Good
NAMANA GARDEN,"South Indian, North Indian",3.3,140,Arekere,South Indian,Budget,Average
Food Court By Kitchens@,"Biryani, Mughlai, Seafood, Kerala, Andhra, Chinese, North Indian, South Indian, ...",3.7,300,Arekere,Biryani,Mid-Range,Good
DESI CHOWK,"Indian, North Indian, Tandoor",3.8,299,Arekere,Indian,Mid-Range,Good
Oven Story Pizza,"Pizzas, Italian",3.7,400,Arekere,Pizzas,Mid-Range,Good
Madras Meal Company,"Chettinad, South Indian",3.9,250,Arekere,Chettinad,Mid-Range,Good
ZAZA 22 Spice Biryani,"Biryani, North Indian, Mughlai",3.4,250,Arekere,Biryani,Mid-Range,Average
Maa Reddy's Hyderabadi Biryani House,"Biryani, Indian, Andhra, Chinese, Hyderabadi, Seafood",3.4,400,Arekere,Biryani,Mid-Range,Average
